Athlete	Flight	Start Time	Stage	Discipline	Squad #	Relay	Order
John Smith	Flight 1	Fri 4/24/2026 8:00 AM	Go Fast	Rimfire Optic Rifle	1	1	1
John Smith	Flight 3	Sat 4/25/2026 8:00 AM	Go Fast	Rimfire Optic Rifle	1	2	1
Jane Doe	Flight 1	Fri 4/24/2026 8:00 AM	Go Fast	PCC	1	1	2
Jane Doe	Flight 3	Sat 4/25/2026 8:00 AM	Focus	PCC	1	2	2
Bob Johnson	Flight 1	Fri 4/24/2026 8:00 AM	Focus	1911	2	1	1
Bob Johnson	Flight 3	Sat 4/25/2026 8:00 AM	Speed Trap	1911	2	2	1
Alice Brown	Flight 1	Fri 4/24/2026 8:00 AM	Speed Trap	Rimfire Optic Pistol	2	1	2
Alice Brown	Flight 3	Sat 4/25/2026 8:00 AM	In & Out	Rimfire Optic Pistol	2	2	2
Carlos Rivera	Flight 2	Fri 4/24/2026 10:00 AM	Go Fast	Rimfire Optic Rifle	3	1	1
Maria Garcia	Flight 2	Fri 4/24/2026 10:00 AM	Go Fast	PCC	3	1	2
Tom Wilson	Flight 2	Fri 4/24/2026 10:00 AM	Focus	1911	4	1	1
Sarah Lee	Flight 2	Fri 4/24/2026 10:00 AM	In & Out	Rimfire Optic Pistol	4	1	2
