Flight	Start Time	Stage	Athlete	Discipline	Squad #	Relay	Relay Code	Order
Flight 1	Fri 4/24/2026 8:00 AM	Go Fast	John Smith	Rimfire Optic Rifle	1	1	A	1
Flight 1	Fri 4/24/2026 8:00 AM	Go Fast	Jane Doe	PCC	1	1	A	2
Flight 1	Fri 4/24/2026 8:00 AM	Focus	Bob Johnson	1911	2	1	B	1
Flight 1	Fri 4/24/2026 8:00 AM	Speed Trap	Alice Brown	Rimfire Optic Pistol	2	1	B	2
Flight 2	Fri 4/24/2026 10:00 AM	Go Fast	Carlos Rivera	Rimfire Optic Rifle	3	1	A	1
Flight 2	Fri 4/24/2026 10:00 AM	Go Fast	Maria Garcia	PCC	3	1	A	2
Flight 2	Fri 4/24/2026 10:00 AM	Focus	Tom Wilson	1911	4	1	B	1
Flight 2	Fri 4/24/2026 10:00 AM	In & Out	Sarah Lee	Rimfire Optic Pistol	4	1	B	2
Flight 3	Sat 4/25/2026 8:00 AM	Go Fast	John Smith	Rimfire Optic Rifle	1	2	A	1
Flight 3	Sat 4/25/2026 8:00 AM	Focus	Jane Doe	PCC	1	2	A	2
Flight 3	Sat 4/25/2026 8:00 AM	Speed Trap	Bob Johnson	1911	2	2	B	1
Flight 3	Sat 4/25/2026 8:00 AM	In & Out	Alice Brown	Rimfire Optic Pistol	2	2	B	2
